trial_no,frame,x,y,mouse_state
0,0,330.8377661623347,480.51329859480813,1
0,1,329.8561915274266,480.68925880127927,1
0,2,329.6817889460713,481.1964534788561,1
0,3,328.6997730235889,481.36929650228217,1
0,4,327.5460859964388,482.0441558439399,1
0,5,322.2860243634538,483.85820880289657,1
0,6,320.1493908635333,484.66153843339833,1
0,7,317.01922795071175,485.5977730032692,1
0,8,309.618585995607,488.00349732289214,1
0,9,304.35881473708525,489.56278630217446,1
0,10,301.2290567107404,490.36874848690684,1
0,11,286.8573184596866,492.57277517440076,1
0,12,283.72965330370556,493.24258945803876,1
0,13,276.5757421027094,493.6498212281897,1
0,14,263.21480074341594,494.08842622914716,1
0,15,256.0,494.15,1
0,16,247.7551656247458,494.06959406960317,1
0,17,235.32392172055438,492.74109616099685,1
0,18,226.8996069330544,490.88174436368854,1
0,19,221.67567608777432,490.02948151413364,1
0,20,206.9340443518263,486.7143874859365,1
0,21,200.5836182653118,484.9846715747355,1
0,22,194.94672816274357,482.31816272301035,1
0,23,188.41558374896604,479.87337878982544,1
0,24,181.06777737971055,477.6305177360932,1
0,25,176.72937645762823,475.8438625498683,1
0,26,166.88838939054122,471.3530588886355,1
0,27,160.65719252809998,468.9322700168441,1
0,28,158.05074633059738,466.80382865510563,1
0,29,149.5127779294379,462.5852108440492,1
0,30,146.46522144128463,461.2447792728623,1
0,31,142.2607629500873,459.02985303169146,1
0,32,136.6452302967795,455.27983858960425,1
0,33,133.67660189298547,453.8448004970683,1
0,34,130.7326285513394,452.39376032491174,1
0,35,126.09267440027719,448.731360112919,1
0,36,122.91516298055845,446.57748663536904,1
0,37,121.76422393339011,445.63466770112814,1
0,38,116.62825872561916,442.1836238199903,1
0,39,115.19469687573529,440.540283659061,1
0,40,111.79341631074541,437.59347572309684,1
0,41,106.17562647461743,432.5787259855369,1
0,42,104.44441502202318,430.1276933200573,1
0,43,100.80239844416668,426.28625727231497,1
0,44,96.55616505136348,420.86709468872954,1
0,45,92.33270270402065,415.30283612833955,1
0,46,89.53530245946486,411.5130727102294,1
0,47,83.67707318298326,402.91634147801045,1
0,48,79.97795753227408,396.3720085030113,1
0,49,77.28369230692958,392.2711845394102,1
0,50,74.62555762868115,388.1122481175443,1
0,51,71.69227591240255,382.9925171456955,1
0,52,70.08885051207251,379.9407663677335,1
0,53,65.6574538902025,373.1338745388936,1
0,54,63.500209678923845,369.698706610737,1
0,55,62.90979247535321,367.7890675008015,1
0,56,59.62804563933176,362.0859983974066,1
0,57,57.5916629310889,358.58612879715275,1
0,58,56.45365289053548,356.33686383105913,1
0,59,56.45365289053548,356.33686383105913,1
0,60,56.45365289053548,356.33686383105913,1
0,61,56.45365289053548,356.33686383105913,1
0,62,56.45365289053548,356.33686383105913,1
0,63,56.45365289053548,356.33686383105913,1
0,64,56.45365289053548,356.33686383105913,1
0,65,56.45365289053548,356.33686383105913,1
0,66,56.45365289053548,356.33686383105913,1
0,67,56.45365289053548,356.33686383105913,1
0,68,56.45365289053548,356.33686383105913,1
0,69,56.45365289053548,356.33686383105913,1
0,70,56.45365289053548,356.33686383105913,1
0,71,56.45365289053548,356.33686383105913,1
0,72,56.45365289053548,356.33686383105913,1
0,73,56.45365289053548,356.33686383105913,1
0,74,56.45365289053548,356.33686383105913,1
0,75,56.45365289053548,356.33686383105913,1
0,76,56.45365289053548,356.33686383105913,1
0,77,56.45365289053548,356.33686383105913,1
0,78,56.45365289053548,356.33686383105913,1
0,79,56.45365289053548,356.33686383105913,1
0,80,53.132042236073715,349.54466941570206,1
0,81,51.55494479540465,345.2329246038787,1
0,82,48.69198090239456,339.37387722390844,1
0,83,44.880266508373666,328.25488209191946,1
0,84,43.35735617419577,322.7335956914129,1
0,85,41.913486226693195,317.16757536748247,1
0,86,40.068195516090746,308.27822634641416,1
0,87,39.46332303553865,303.86600233255615,1
0,88,38.29929702430275,298.17238754588914,1
0,89,37.269187955759804,288.06524987488814,1
0,90,36.897061752194936,283.5312592397673,1
0,91,36.50910456935437,277.8341728005225,1
0,92,36.318400524402264,274.40264709629554,1
0,93,36.20905928707838,272.11033071249835,1
0,94,36.11407962160999,269.81482220120245,1
0,95,36.07200484357893,268.6660102196599,1
0,96,35.54719399999012,266.33372531877853,1
0,97,35.51634158990331,265.18681904068904,1
0,98,35.429113786178064,260.59522675515836,1
